uid,body,title,url,newspaper,host,n_tokens_title,n_tokens_body
4d1a0d1e768bbd5e576175953baed922,"Maravillas Delgado.Incluso para los más ardientes críticos del presidente norteamericano, Donald Trump, la desastrosa respuesta de su Gobierno a la pandemia de la Covid-19 ha sido una sorpresa. ¿Quién habría imaginado que Trump y sus compinches serían tan incompetentes como para que un simple test de la enfermedad se convirtiera en un importante cuello de botella?...Inicia sesión para seguir leyendoSólo con tener una cuenta ya puedes leer este artículo, es gratisRegístrateIniciar SesiónGracias por leer EL PAÍS",El fracaso épico de la Administración Trump,https://www.elpais.com/economia/negocio/2020-04-04/el-fracaso-epico-de-la-administracion-trump.html,elpais.csv,www.elpais.com,4,38
9502e25ca6fdad16bb40abce2a318b6d,"El miércoles pasado, unos vecinos de Vitoria se acercaron al cuartel de la Guardia Civil y regalaron a los agentes 300 mascarillas, 150 botes de gel desinfectante y un buen puñado de guantes para protegerse contra el coronavirus. Hace 10 o 15 años, ni el guionista más disparatado del programa de humor Vaya semanita se habría atrevido a imaginar una escena así. Aunque los rescoldos de tantos años de odio y asesinatos tardarán todavía en apagarse, el fin de las pistolas ya está permitiendo que el cine se aproxime a la historia de ETA sin complejos, atreviéndose incluso a iluminar los pasajes más oscuros.El próximo miércoles 8 de abril, Movistar + estrena La línea invisible, una serie de seis capítulos dirigida por Mariano Barroso que recrea el primer asesinato de ETA —el del guardia civil de Tráfico José Pardines, perpetrado el 7 de junio de 1968 a las afueras de San Sebastián—. Barroso pone el foco hasta en los detalles más cotidianos de dos personajes que por sí solos constituyen el retrato de una época: el joven etarra Txabi Etxebarrieta, el primer asesino de la banda terrorista, y el policía Melitón Manzanas, jefe de la brigada político-social de Guipúzcoa y uno de los más siniestros torturadores del franquismo. “La serie”, explica el director, “cuenta la tragedia de este pueblo partido en dos mitades, incapaz cada una de ellas de reconocerse en la otra. ¿De dónde viene esa violencia, esa banalización de la muerte, esa negación del otro tan tremenda? ¿Quién legitima a quién para matar a nadie? O para torturar...”.El 16 de marzo de 2010, ETA cometió su último atentado. Y el 20 de octubre de 2011, la organización terrorista, ya muy debilitada por los golpes policiales y por el rechazo de una sociedad hastiada de sus crímenes, anunció “el cese definitivo de su actividad armada”. El tiempo transcurrido desde entonces, reflexiona Mariano Barroso, permite que “la historia se vaya posando, una cierta perspectiva, la distancia necesaria para detenerse en aspectos esenciales de la historia de ETA que no se habían contado hasta ahora”.Y de esa forma, durante los últimos meses, han ido surgiendo series y documentales que abordan el terrorismo vasco desde distintos puntos de vista, ayudándose unos de la recreación cinematográfica de los personajes y ciñéndose otros al puro reportaje. En la nómina de excelentes producciones que ya han salido a la luz o se estrenarán en un futuro más o menos inmediato se encuentran, entre otras, la serie ETA, el final del silencio, de Jon Sistiaga; el documental Lagun y la resistencia frente a ETA, de los periodistas José María Izquierdo y Luis Rodríguez Aizpeolea, o Patria, una serie de HBO España basada en la novela de Fernando Aramburu.En La línea invisible, Mariano Barroso se la juega. “Hay que tener en cuenta que cuando ETA empezó”, explica, “no era la pesadilla en que luego se convirtió. De hecho, ese era uno de los retos que teníamos al empezar la película: tanto en la fase del guion como en la del rodaje, todos teníamos en la cabeza el spoiler de lo que pasa después [los centenares de muertos, de heridos, los secuestros, las extorsiones...], pero teníamos que olvidarnos de eso, hacer abstracción de lo que pasó y retratar aquellos años del fin de la dictadura y a aquellos personajes”.El perfil que traza Barroso de Txabi Etxebarrieta antes de que se convirtiera con 23 años en el primer asesino de ETA se parece bastante al de la gente de esa edad en aquella época: “¿Quién no tenía un póster del Che Guevara en su habitación? Las referencias de los jóvenes de entonces eran Argelia, el Mayo francés, las guerrillas latinoamericanas. Lo que pasa es que un asesino puede querer a su madre, puede adorar a su hermano… Y un torturador implacable como Melitón Manzanas puede adorar a su hija y puede cuidarla. Y justamente construir todas esas capas de los personajes en distintas dimensiones, todas esas contradicciones, es lo que añade tensión a la película y crea el misterio de la narración”.Al igual que durante la producción de Patria, los protagonistas de La línea invisible se han tenido que mover por lugares donde no hace mucho tiempo hubiese sido muy complicado rodar. Ahora, después de más de 10 años sin el sobresalto de los atentados, el País Vasco ofrece un rostro muy distinto, aunque, según admite Barroso, todavía se percibe el eco de aquel silencio tácito: “Un no vamos a hablar de esto porque cada vez que se habla vuelve a salir el monstruo”.Lo que precisamente hace ahora el cine y la televisión —tal vez con más éxito que la literatura y el periodismo cuando ETA todavía asesinaba— es sacar a pasear al monstruo, desnudarlo, indagar en sus contradicciones: “Como en todas las historias, cuando indagas un poco empiezas a encontrar contradicciones. Descubres por ejemplo que Melitón Manzanas hablaba euskera, y que Txabi Etxebarrieta no lo hablaba nada. ¡El torturador franquista era euskaldún y el líder de ETA no entendía ni una frase! Y dices, joder, si hubierais empezado cada uno por ahí, intentando entender al otro, igual nos habríais ahorrado un montón de disgustos, de vidas, de años perdidos...”.Las primeras escenas de un dramaEl torturador más despreciable de la dictadura franquista era un hombre campechano, y el primer asesino de ETA era un joven enfermizo y buen estudiante, un aprendiz de poeta obsesionado con la muerte. No parecía fácil sobre el papel encarnar a personajes tan contradictorios, cuyos caminos jamás se llegaron a cruzar, pero el andaluz Antonio de la Torre logra hacer creíble a Melitón Manzanas y el catalán Àlex Monner a Txabi Etxebarrieta.En el extenso elenco de La línea invisible figuran también Anna Castillo, Asier Etxeandia, Patrick Criado, Patricia López Arnáiz, Enric Auquer, Emilio Palacios, Pablo Derqui y Ramón Barea. El director de la serie, Mariano Barroso, es de los que creen que “las guerras hay que contarlas desde la secretaría del primer ministro, porque es ahí donde hay más drama y están los matices más interesantes”. De la mano de todos ellos, Barroso logra construir las primeras escenas de un drama que duró 40 años.",La línea invisible de ETA,https://www.elpais.com/television/2020-04-03/la-linea-invisible-de-eta.html,elpais.csv,www.elpais.com,3,510
bea0f56a787b591fd426645882a223b0,"Ai Weiwei es uno de los disidentes chinos que más ha hecho por denunciar la falta de derechos humanos que impera en el mundo, así como el daño que la falta de libertad de expresión causa en China. El artista vivo más importante del país asiático encabeza el ranking mundial de autores que más visitantes atraen a los museos: el año pasado 1,1 millones de personas asistieron a una de sus exposiciones itinerantes en Brasil, por encima de Van Gogh, Kli...Inicia sesión para seguir leyendoSólo con tener una cuenta ya puedes leer este artículo, es gratisRegístrateIniciar SesiónGracias por leer EL PAÍS",Ai Weiwei:  “El capitalismo ha llegado a su fin”,https://www.elpais.com/ideas/2020-04-04/ai-weiwei-el-capitalismo-ha-llegado-a-su-fin.html,elpais.csv,www.elpais.com,5,55
