body,title,url
"

Se viven tiempos inéditos, encerrados en casa y con un tapabocas.

La crisis sanitaria generada por el coronavirus y su impacto económico han venido a trastocar nuestras vidas cotidianas y nuestros bolsillos de manera radical.

Los chicos no van a la escuela, restaurantes, bares, cines y centros comerciales permanecen cerrados, empresas paran actividades y los dueños negocian con sus empleados que trabajen desde casa o que hagan paros temporales con un menor pago o sin sueldo.

En el peor de los casos, muchos se están quedando sin chamba.

Gran cantidad de pequeños y micronegocios, formales e informales, que dan empleo a la mayor parte de los mexicanos, como talleres mecánicos y eléctricos, vulcanizadoras, peluquerías y salones de belleza, tlapalerías y ferreterías, tiendas de ropa y calzado, e incluso changarros callejeros, no tienen clientela: están cerrando y quebrando.

Como dice el dicho: “El horno no está para bollos”.

Frente a esta situación de incertidumbre económica actual, ¿qué se debe hacer?

Lo más importante es contar con liquidez y cuidar las fuentes de ingresos, es decir, el empleo o negocio que provea de recursos constantes para cubrir las necesidades básicas de usted y su familia.

Hable con su jefe o su patrón para que quede claro cuál es su situación laboral y la estrategia que va a seguir la empresa durante la contingencia por el coronavirus.

Si fue precavido y cuenta con un ahorro, éste constituye un importante respaldo. Pero si no cuenta con ello, dentro de lo posible, es muy relevante vaya haciendo un guardadito para hacer frente a cualquier contingencia.

Evitar todos los gastos superfluos es una forma importante de ahorro. Quizás, temporalmente, pueda prescindir de algunos servicios que impliquen alguna renta, como pueden ser el pago de gimnasio, la comida rápida o la televisión de paga, e incluso algunos hábitos, como fumar cigarro o comprar bebidas alcohólicas.

En estos momentos es muy importante llevar una administración ordenada de los ingresos y el destino que se les da. Es probable que, si hace cuentas, se percate de que en algunos casos realiza inconscientemente gastos excesivos, por ejemplo, a la hora de hacer las compras de la despensa.

Haga una lista de lo que realmente necesita y apéguese a ella.

Evite, dentro de lo posible, las compras de pánico, que muchas veces son innecesarias y únicamente le quitan liquidez.Por el contrario, pueden generar un desabasto parcial. Haga las compras adecuadas a las circunstancias, cubriendo los requerimientos de alimento, salud y sanidad, principalmente.

Procure ser puntual con sus compromisos financieros. Haga los pagos de su tarjeta de crédito, auto, hipoteca o renta a tiempo, a fin de no tener afrentar recargos u otros gastos adicionales.

Evite endeudarse, pero si por alguna causa ajena a usted tiene la imperiosa necesidad de pedir prestado, procure obtener créditos blandos, no muy onerosos, quizás en el ámbito familiar.

El crédito bancario puede ser caro, pero las casas de empeño y los agiotistas suelen ser más abusivos.

En todo caso, si no tiene acceso al sistema financiero, considere la posibilidad del Monte de Piedad, que es una institución grande y segura.

Platique con su pareja o con los miembros de su familia sobre todos los problemas económicos que conlleva la actual situación sanitaria por la que atraviesa el país. Siempre es mejor que todos tengamos claro cuál es el terreno que estamos pisando y los cambios que debemos poner en marcha para superar la contingencia.
",Cómo manejar su dinero en tiempos de coronavirus,https://www.eluniversal.com.mx/cartera/como-manejar-su-dinero-en-tiempos-de-coronavirus
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


Debido a la contingencia del coronavirus Covid-19, la Feria Internacional de Caballo Texcoco 2020 se efectuará del 16 de julio al 9 de agosto.
Hace unas horas, la cuenta de Facebook de la Feria del Caballo Texcoco 2020 dio a conocer el cartel del palenque con las nuevas fechas.
Lo que se puede apreciar  en este cartel es que ningún artista que fue anunciado anteriormente canceló su compromiso a esta importante evento.
Nuevas fechas palenque Feria del Caballo Texcoco 2020 
UN1ÓN Edomex te dice los días que se presentaron los cantantes en el palenque de la Feria Internacional del Caballo Texcoco 2020.
Julio 16: Edith Márquez
Julio 17 y 18: Banda MS
Julio 19: Lalo Mora y Cadetes de Linares
Julio 22 y 23: Alejandro Fernández
Julio 24: Alejandra Guzmán
Julio 25: El Fantasma y Los Dos Carnales
Julio 26: María José
Julio 29: Invasores de Nuevo León y Lorenzo de Montecarlo
Julio 30: Pancho Barraza
Julio 31: Alfredo Olivas
Agosto 1: Variedad Sorpresa
Agosto 2: Bronco
Agosto 5: Intocable
Agosto 6: La Arrolladora
Agosto 7 y 8: Julión Álvarez
Agosto 9: Alicia Villarreal
Datos desconocidos de la Feria del Caballo Texcoco 2020
Al anunciar el cartel del palenque de la Feria internacional del Caballo Texcoco 2020 con las nuevas fechas, se dio a conocer nueva información sobre los conciertos.
Los primero que deben conocer es que la reapertura del taquillas será a partir del 4 de mayo, en un horario de 10:00 a 17:00 horas y en línea a través de Superboletos. 
Para el reembolso de los artistas no reagendados igualmente será a partir del 4 de mayo.
Además, los artistas con doble presentación, los boletos serán válidos para la primera o segunda fecha en la cual fueron comprados.
Los encargados de la Feria recordaron al público que ""todo esto seguido de las normas de cuarentena establecidas por el gobierno federal y acatando toda orden emitida.
Te Puede Interesar: 
Museo de Van Gogh: Visita a museos virtuales en el mundo por Covid-19

",Feria del Caballo Texcoco 2020: Nuevas fechas cartel palenque ,http://www.unionedomex.mx/articulo/2020/04/02/recreo/feria-del-caballo-texcoco-2020-nuevo-fechas-cartel-palenque
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


Un par de días antes de la declaración de pandemia por coronavirus, la actriz y conductora Jacqueline Bracamontes decidió tomarse unas merecidas vacaciones en Tulum, Quintana Roo.
A destacar es que la guapa tapatía decidió descansar sola y su esposo e hijas se quedaron en casa para permitirle estar concentrada en relajarse y disfrutar del paraíso vacacional.
Bracamontes aprovechó para lucir los resultados de las varias cirugías estéticas que se sometió para corregir los cambios que le habían generado a su cuerpo sus cuatro embarazos.
La ex reina de belleza no se destaca por aparecer en trajes de baño muy diminutos, pero el bañador que eligió la hace lucir espectacular.
Jacky aceptó que la primera vez que se corrigió estéticamente, fue antes de entrar en el mundo del modelaje y sólo fue un detalle de su nariz que no le gustaba.
A finales del año pasado, la conductora y actriz compartió en redes sociales que se sometió a una nueva cirugía estética para sentirse a gusto con su cuerpo.
VER: Jacqueline Bracamontes y sus infidelidades
",Jacky Bracamontes vacaciona y desafía al coronavirus,http://www.unionjalisco.mx/articulo/2020/03/19/espectaculos/jacky-bracamontes-vacaciona-y-desafia-al-coronavirus?platform=hootsuite
"

Hoy, mientras estás en casa por la contingencia sanitaria y antes de irte a dormir, recuerda adelantar una hora tu reloj, ya que en el primer minuto del domingo 5 de abril inicia el Horario de Verano.

Conforme al Decreto Legislativo vigente desde 2002 que establece el horario estacional, este domingo inicia el nuevo horario que concluirá el 25 de octubre, aunque en los últimos años sus beneficios siguen siendo irregulares.

De acuerdo con la Secretaría de Energía (Sener), el Horario de Verano entra en vigor en la República Mexicana, con excepción de los estados de Sonora y Quintana Roo, así como en los 33 municipios de la franja fronteriza norte.

Éstos son Tijuana, Mexicali, Ensenada, Playa Rosarito y Tecate, en Baja California; Juárez, Ojinaga, Ascensión, Coyame del Sotol, Guadalupe, Janos, Manuel Benavides y Praxedis G. Guerrero, en Chihuahua; Acuña, Piedras Negras, Guerrero, Hidalgo, Jiménez, Zaragoza, Nava y Ocampo, en Coahuila; Anáhuac y Los Aldama, en Nuevo León; Nuevo Laredo, Reynosa, Matamoros, Camargo, Guerrero, Gustavo Díaz Ordaz, Mier, Miguel Alemán, Río Bravo y Valle Hermoso, en Tamaulipas.

La modalidad de Horario de Verano inició en 1996, durante el gobierno de Ernesto Zedillo, a través del Decreto por el que se establece el horario estacional que se aplicará en los Estados Unidos Mexicanos.

A partir de entonces, el objetivo ha sido “hacer mejor uso de la luz solar durante los meses de mayor insolación, para así obtener una reducción en el consumo de energía eléctrica en las horas de mayor demanda de electricidad”, de acuerdo con información del Fideicomiso para el Ahorro de Energía Eléctrica (Fide).

Los resultados medidos en ahorros, tanto de consumo como demanda, se han reducido en los últimos años.

Las cifras más resientes de la Sener revelan que en 2018, con la implementación del Horario de Verano, se obtuvo un ahorro en consumo medido en Gigawatts-hora (GWh) de 945.29. Un año antes la cifra fue de 885 GWh. Los números de estos años distan de lo que se logró en 2013, cuando el ahorro en consumo alcanzó mil 224 GWh.

El ahorro en demanda medido en megawatts (MW) fue de 591.7 en 2018, cuando un año antes se reportó uno de 548 MW. En 2014, este ahorro se ubicó en 888 MW. Los ahorros de hace dos años fueron equiparables al consumo de 592 mil casas con un consumo promedio de 266 kilowatt hora al bimestre (kWh/bimestre), o el equivalente al consumo de 8.3 millones de lámparas fluorescentes compactas autobalastradas prendidas las 24 horas del día durante un año.

Un año antes, esos ahorros se equipararon al consumo de 571 mil casas, pero con un consumo promedio de 258 kilowatt hora al bimestre (kWh/bimestre), lo que refleja un aumento de 3.6% en el indicador entre uno y otro año.
",Este domingo arranca nuevo ciclo del Horario de Verano,https://www.eluniversal.com.mx/cartera/este-domingo-arranca-nuevo-ciclo-del-horario-de-verano
"
Ecatepec, Méx.- Con muchas flores y globos, así quiere despedir Adriana a su hijo, José Eduardo; la taxista se recuperó del Coronavirus, pero su pequeño de 14 años de edad murió anoche electrocutado en el jardín de su casa. 
La joven de 37 años de edad relató que ayer regresó al hospital para practicarse las últimas pruebas que la dan de alta del Covid-19, ahí le informaron que superó la etapa contagiosa y lo primero que pensó fue en abrazar a sus hijos, pero al volver ya había ocurrido el incidente. 
Mientras ella recibía atención médica en el hospital, en casa se quedó el segundo más grande de sus cuatro hijos - José Eduardo-, quien se encargaba de las tareas del hogar. 
Explica que debido a la lluvia que se registró en esta localidad, el agua se metió a su casa, entonces el niño quiso jugar y al mismo tiempo, barrerla. Entonces encendió la bomba y ocurrió el accidente. 
La taxista reconoce que su pequeño no sólo la auxilió durante los 20 días de aislamiento, sino era “el más solidario con ella y con todos alrededor”. 
Adriana relata que su hijo se hizo cargo de ella y sus hermanitos, la alimentó, la ayudó, estuvo siempre de su mano y fue un pilar para su familia, sobre todo fue motivo de alegría. 
Ella acudió el 14 de marzo al Instituto Nacional de Enfermedades Respiratorias (INER), ahí le hicieron la prueba y dio positivo al Coronavirus, ayer el último diagnóstico dio positivo, pero al volver su hijo había muerto.
 
","Muere en accidente niño que cuidaba a su mamá, paciente con Covid-19",https://www.eluniversal.com.mx/metropoli/edomex/muere-electrocutado-nino-que-cuidaba-su-mama-paciente-con-covid-19
"
Oaxaca. —La Universidad Autónoma “Benito Juárez” de Oaxaca (UABJO) inició esta mañana la instalación del Colegio Electoral para la elección del nuevo Rector para el período 2020-2024; pese a la solicitud de catedráticos y sindicatos de posponer el proceso por la emergencia sanitaria causada por el coronavirus Covid-19.

Leticia Mendoza Toro, secretaria general de la UABJO y miembro fedatario de la Comisión Electoral preside la reunión en la que se presume que Francisco Velásquez alias “El Sonrics” sea nombrado presidente de la comisión electoral, instancia que estará encargada de la organización y vigilancia de la elección.

Javier Martínez Marín, miembro de la Comisión Electoral, criticó la celebración de esta reunión o sesión por realizarse dentro de la emergencia sanitaria, violando incluso las propias recomendaciones hechas por las autoridades universitarias.

“Estoy en desacuerdo con la reunión en virtud de la situación sanitaria que las autoridades federal, estatal y universitaria han dado a conocer públicamente: el de mantenernos en casa a excepción de que trabajemos en actividades especiales como la distribución de alimentos, sanidad y seguridad.

“Exponerme sin alguna de estas causas es exponer indebidamente a usted, a mí y a mi familia, algo que por responsabilidad personal y cívica no haré”, dijo en un oficio enviado a Leticia Mendoza.

Javier Martínez advirtió que el documento que se les envió para la reunión de hoy no está sellado ni firmado y pretende que al convocar a los miembros de la comisión electoral, es para obligarlos a decidir entre salud y derecho; lo cual calificó de perverso y por tanto, dijo no estar de acuerdo.

Adelantó que cualquier acuerdo que emane de esta reunión no lo avalará ni reconocerá por ser un proceso viciado y advirtió con denunciarlo donde corresponda jurídicamente y darlo a conocer a la comunidad universitaria y a la sociedad en general.

El abogado y catedrático de la Facultad de Derecho y Ciencias Sociales, Pedro Sosa, solicitó a las autoridades de la Universidad Autónoma “Benito Juárez” Oaxaca (UABJO) no emitir la convocatoria para el proceso de elección del nuevo Rector.

Primero, dijo, se debe priorizar la salud y atenerse a las recomendaciones de los responsables del sector Salud del país y del estado para evitar la propagación del coronavirus Covid-19.

El Sindicato de Trabajadores Académicos de la Universidad de Oaxaca (STAUO) también demandó que se retrase el proceso electoral a causa de la contingencia sanitaria por el coronavirus Covid-19 que en Oaxaca suma 22 casos positivos.

A través de un comunicado puntualizó que realizar reuniones y acuerdos de naturaleza electoral durante la cuarentena viola disposiciones federales, estatales y de la misma Rectoría de la UABJO; y exigió que se respete los acuerdos de protección de salud y no exponer a la comunidad estudiantil.
","Pese a pandemia de Covid-19, instalan en la UABJO comité para elección de nuevo rector ",https://oaxaca.eluniversal.com.mx/metropoli/02-04-2020/pese-pandemia-de-covid-19-instalan-en-la-uabjo-comite-para-eleccion-de-nuevo
"
Read in English
Mexicali.- La curva de crecimiento por contagios de Covid-19 en Mexicali, capital de Baja California, es igual a la que registró Wuhan -en China- considerada la ciudad que fue el epicentro de contagios hacia el resto del mundo, reveló el secretario de Salud estatal, Alonso Pérez Rico.
Durante la conferencia de prensa que diariamente encabeza el funcionario estatal junto con el gobernador morenista Jaime Bonilla Valdez, dijo que en el estado hay un total de 58 personas que han resultado positivos al virus, de las cuales más de la mitad se encuentran en Mexicali que fue donde se detectó el primer caso en la entidad.
Se trata de 32 pacientes quienes adquirieron el Covid-19 y se encuentran en la capital del estado, mientras que los 26 restantes están en Tijuana, y existen otros 188 casos sospechosos de quienes aún se esperan los resultados.
También lee: Presentan programa digital de asistencia médica en Morelos 
Lamentó que en Mexicali los ciudadanos no han atendido las recomendaciones que las autoridades sanitarias recomendaron desde hace semanas al pedir que la gente no salga de sus casas y que en caso de hacerlo respeten la distancia entre una y otra personas para disminuir el riesgo de contagio.
Pérez Rico exhibió una gráfica en la que comparó no solo el número de casos sino la curva de crecimiento entre la ciudad norteña y la de oriente, para luego explicar que proporcionalmente se trata de un ritmo de crecimiento en el número de contagios que se desarrolla con la misma velocidad, lo cual aumenta el riesgo de colapso en los servicios de salud. 
“En los primeros 15 días, como empezaron a tener casos en Wuhan y como está teniendo casos Mexicali, lo que vemos es prácticamente una curva idéntica a la de Wuhan, pero lo que llama poderosamente la atención es que las curvas epidémicas son ascendentes, prácticamente idénticas”, lamentó el funcionario estatal.
También lee: Enfermera de Monclova con coronavirus da a luz a un bebé
El mes pasado fue realizada una consulta ciudadana para conocer la opinión de los ciudadanos sobre la operación de una planta productora de cervecera de origen extranjero, en la que participaron miles de personas aun cuando un par de días antes se habían detectado los primeros casos de contagio de Covid-19.
vare
",Comparan a Mexicali con Wuhan sobre crecimiento de Covid-19,https://www.eluniversal.com.mx/estados/comparan-mexicali-con-wuhan-sobre-crecimiento-de-covid-19
" 0 % PULSO SOCIAL0 Debido a la cuarentena por coronavirus, muchos dueños de mascotas se han visto obligados a pasar más tiempo en casa. Aunque estar acompañado de tu perro todo el día puede parecer un sueño, también puede convertirse en un dolor de cabeza con mucha facilidad.
El hecho de disminuir los paseos y salidas puede provocar estrés en tu perro. Esta condición se refleja en conductas destructivas o mal comportamiento, debido a la falta de actividad.
Para evitar este tipo de situaciones, muchos expertos recomiendan aprovechar estos días en casa y enseñarle algunos trucos a tu lomito. Se trata de órdenes sencillas que les servirán mucho tanto a tu perro como a ti.
Recuerda armarte de premios y paciencia, pues lo mejor es que el entrenamiento sea algo positivo y divertido para ambos. Afortunadamente en el Internet abundan tutoriales donde expertos te dirán paso a paso como lograr que tu mascota haga sorprendentes trucos.
1. Enseñar a tu perro a sentarse
Se trata de uno de los comandos más básicos que hay y no sólo sirve para que el animal se siente, sino que también es clave para lograr que se tranquilice y centre su atención en ti. Prueba hacer que tu mascota se siente antes de comer y así ejercitará su control.
Una de las técnicas más sencillas para lograr este truco es sostener un premio o juguete y colocarlo por encima de la nariz del can mientras te acercas a él lentamente. Al mirar hacia arriba, el perro naturalmente se sentará. No lo premies si salta hacia ti.


 
2. Enseñar a tu perro a dar la pata
Este truco es muy sencillo si tienes un puñado de premios. Basta con colocar tu mano en forma de puño (con los premios adentro) y acercarte a la nariz de tu perro, de preferencia ya cuando esté sentado.
No dejes que abra tu mano con el hocico y espera a que use su pata para ayudarse. Dale la orden correspondiente y felicítalo con un premio. Poco a poco, asociará el gesto del puño cerrado con dar la pata.


 
3. Enseña a tu perro a girar
De nuevo, este truco es muy simple si tu perro se guía principalmente por su gula. Basta con iniciar en la posición de sentado y dirigirlo con un premio para que de una vuelta y vuelva a sentarse. Ten mucha paciencia y trata de pegar el premio lo más que puedas a su hocico.

 
4. Enseñar a tu perro a saltar
¿Has visto a los perros de agilidad? En realidad, lograr que un perro salte obstáculos no es tan complicado, pero debes tomar en cuenta el tamaño de tu perro y darle obstáculos progresivamente más grandes. Este truco es ideal para canes que necesiten gastar mucha energía, aunque debes tener precauciones si son perros ancianos o con problemas de huesos/articulaciones.
Si no tienes obstáculos a la mano, puedes fabricar el tuyo atando una cinta a dos sillas y usar esa altura como referencia. Simplemente debes colocarte del otro lado del obstáculo y con un premio, dirigir al perro por encima de él.

 
5. Lograr que tu perro se eche
Si ya tienes dominado el truco de sentarse, esto será pan comido. Sólo tienes que usar un premio y colocarlo cerca del hocico del perro. Con paciencia, lleva el premio desde este punto hasta el suelo, trazando una línea imaginaria en diagonal. Por instinto, el perro se tirará sobre su pecho.

 
TARJETA:

 
 
 

Ver esta publicación en Instagram

Es muy importante tener cuidado con nuestras mascotas... Para más #información visita de10.com.mx y sigue nuestras redes sociales . . . . . . . #Mascotas #MascotasDe10 #Perros #Dog #Dogs #VivirBien #Salud #Cuidados #Pet #Careful #Entérate #Accidente #Datos
Una publicación compartida de  De10.mx (@de10mx) el 17 Mar, 2020 a las 9:00 PDT


 ",,https://de10.com.mx/vivir-bien/5-trucos-sencillos-que-puedes-ensenarle-tu-perro-en-cuarentena
"
El próximo martes 7 de abril mira al cielo desde tu casa: habrá superluna y será la más grande del año.

De acuerdo con el astrónomo de la NASA Mitzi Adams, hablamos de una superluna cuando percibimos al satélite natural más grande de lo “normal”.

Esto ocurre cuando la órbita de la luna está más cerca de la Tierra. Este enfoque más cercano también es llamado perigeo.

“Cuando la Luna está más cerca y a un día de ser llena, se le llama superluna porque está en su momento más brillante y más grande”, apunta. 




 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 




 

 


Una publicación compartida por Tim McKenna Photography (@timmckenna) el 27 de Feb de 2020 a las 8:04 PST




La ilusión de cercanía será mayor si estás cerca de un horizonte y en la línea de visión hay árboles o edificios. “Debido a que estos objetos relativamente cercanos están frente a la Luna, nuestro cerebro es engañado para que piense que la Luna está mucho más cerca de los objetos que están en nuestra línea de visión. Cuando está arriba no hay objetos cercanos con los que compararla y puede parecer más pequeña”, explica.

Recomendamos 






28 turistas de Texas dan positivo a Covid-19 tras viaje a México


Dieron positivo al nuevo coronavirus a una semana y media de su viaje a Cabo San Lucas





La superluna del 7 de abril será rosa. Pero ojo, esto no quiere decir que será de ese color. Los nativos americanos la llamaron así porque esta luna coincidía con la floración de las flores phlox en algunas regiones de América del Norte. 

Su nombre es un homenaje a los colores de primavera que se anuncian, pero también se le conoce como luna pescado, luna liebre y luna de hierba brotante. 




 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 




 

 


Una publicación compartida por Milja / Pipo silmillä -blogi (@piposilmilla) el 14 de Dic de 2019 a las 2:37 PST




Otros fenómenos para abril…

1 de abril: el miércoles por la mañana, la Luna aparecerá medio llena. Por la noche, la brillante estrella Pollux aparecerá unos 7 grados en la esquina superior derecha de la Luna creciente.

3 de abril: el viernes por la noche, el planeta Venus aparecerá muy cerca del cúmulo estelar de las Pléyades.

4 de abril: el sábado por la noche, la brillante estrella Regulus aparecerá unos 5 grados a la derecha de la Luna creciente. 

7 de abril: la Luna estará en perigeo, su órbita más cercana a la Tierra. Mira al cielo porque es la superluna.

Lee 






Explora The MET Museum de Nueva York sin salir de casa


Con este recorrido virtual, Met Museum busca inspirar conocimiento, creatividad e ideas a quienes se quedan en casa 



",,https://www.viveusa.mx/destinos/superluna-rosa-de-abril-por-que-la-llaman-asi-y-cuando-verla
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


El pasado 14 de marzo, el secretario de Educación Pública (SEP), Esteban Moctezuma Barragán, informó que a causa de la contingencia por el coronavirus que se ha extendido a través de diversos países en el mundo, se suspendían las clases en todo México a partir del 20 de marzo y hasta el próximo 20 de abril, obligando así a una cuarentena como medida de prevención.
Tras este anuncio, en varios estados del país, se indicó que a partir de que inicie este receso escolar obligatorio el día 23 de marzo, los maestros tendrán la obligación de dejar tareas en línea.  
Por lo que en durante la última semana de clases antes de la cuarentena a las que obliga la crisis por el Covid-19, los maestros deberán planear actividades académicas a distancia y elaboración de tareas; al tiempo que se tiene programado un consejo técnico el día 23 de marzo.
Y aunado a las indicaciones oficiales que cada escuela dará a través de su planta docente, a través de redes sociales se están compartiendo cuadernos de repaso escolar para que los niños de primaria realicen ejercicios sobre los aprendizajes obtenidos durante el presente ciclo escolar.
En este sentido, los maestros recomiendan a los padres de familia ubicar en qué nivel de aprendizaje se encuentran sus hijos, para poder llevar a cabo estrategias de trabajo con el fin de que los alumnos logren obtener los aprendizajes y conocimientos acordes a su grado.  
A continuación te dejamos los cuadernos de repaso de nivel primaria que comparte el sitio materialeducativo.org, para que puedas ocuparlos con tus hijos durante este receso de actividades obligado por la contingencia creada por el coronavirus.


Cuaderno de repaso Primer grado de primaria https://drive.google.com/file/d/1wzmOpySZfN4i_ltTiuwA_YkgxIKVCcIv/view


Cuaderno de repaso Segundo grado de primaria https://drive.google.com/file/d/1NoBZ62ME-xy7yhCr8Uld8_TzCXXw3YMN/view


Cuaderno de repaso Tercer grado de primaria https://drive.google.com/file/d/1wl0ONraQB8ZvxQEJ-ZwZUVmYNPW_Q_jk/view


Cuaderno de repaso Cuarto grado de primaria https://drive.google.com/file/d/1NOkRinitZgOpQBosi41mjx8nMvXU86Ki/view


Cuaderno de repaso Quinto grado de primaria https://drive.google.com/file/d/1ddL_eyFkJRAdpQlD9i_Gpdjk71JQ2NM5/view


Cuaderno de repaso Sexto grado de primaria https://drive.google.com/file/d/1tyG1NyUwXWzbi1g1oZMlC7wGb6b3AKSA/view


 
 
VER TAMBIÉN:
¿Cuándo empieza la suspensión de clases en Puebla por coronavirus?
Estados que tienen más casos confirmados de coronavirus en México
Coronavirus Puebla: Maestros dejarán tareas en línea por Covid-19
Sesión extraordinaria CTE, marzo 2020. Lo que debes saber
Coronavirus: 15 datos que debes saber sobre la pandemia de Covid-19
¿El Lysol mata el coronavirus Covid-19? ¿Y el cloro o el Pinol?
Receta de Profeco para hacer gel antibacterial casero con alcohol
 
",Cuaderno de repaso para la cuarentena por coronavirus | Covid-19,http://www.unionpuebla.mx/articulo/2020/03/18/educacion/cuaderno-de-repaso-para-la-cuarentena-por-coronavirus-covid-19
